294237,8/23/2013 1:58,8/23/2013 2:01,107,196,14,Morgan St & 18th St,14,Morgan St & 18th St,Customer,null,null,Lower West Side,41.8581,-87.6511,Lower West Side,41.8581,-87.6511,0
294239,8/23/2013 2:14,8/23/2013 2:19,1761,355,16,Wood St & North Ave,116,Western Ave & Winnebago Ave,Customer,null,null,West Town,41.9103,-87.6725,Logan Square,41.9155,-87.687,1337.25099027867
294240,8/23/2013 2:15,8/23/2013 2:47,713,1900,43,Michigan Ave & Washington St,90,Millennium Park,Customer,null,null,The Loop,41.8839,-87.6246,The Loop,41.881,-87.6241,321.221488516869
294241,8/23/2013 2:18,8/23/2013 2:47,979,1741,43,Michigan Ave & Washington St,90,Millennium Park,Customer,null,null,The Loop,41.8839,-87.6246,The Loop,41.881,-87.6241,321.221488516869
294242,8/23/2013 2:18,8/23/2013 2:25,1744,417,143,Sedgwick St & Webster Ave,144,Larrabee St & Webster Ave,Customer,null,null,Lincoln Park,41.922,-87.6385,Lincoln Park,41.9217,-87.644,454.405184093276
294245,8/23/2013 2:33,8/23/2013 3:56,297,4981,157,Lake Shore Dr & Wellington Ave,173,Mies van der Rohe Way & Chicago Ave,Customer,null,null,Lake View,41.9367,-87.6368,Near North Side,41.8969,-87.6217,4589.22133046113
294246,8/23/2013 2:35,8/23/2013 3:55,1085,4799,157,Lake Shore Dr & Wellington Ave,173,Mies van der Rohe Way & Chicago Ave,Customer,null,null,Lake View,41.9367,-87.6368,Near North Side,41.8969,-87.6217,4589.22133046113
294247,8/23/2013 2:40,8/23/2013 2:52,156,774,110,State St & Erie St,5,State St & Harrison St,Customer,null,null,Near North Side,41.894,-87.6286,The Loop,41.874,-87.6277,2224.51121221665
294248,8/23/2013 2:40,8/23/2013 3:08,84,1655,110,State St & Erie St,147,Indiana Ave & 26th St,Customer,null,null,Near North Side,41.894,-87.6286,Douglas,41.8457,-87.6225,5386.13931977887
294250,8/23/2013 2:45,8/23/2013 3:56,1218,4263,122,Congress Pkwy & Ogden Ave,122,Congress Pkwy & Ogden Ave,Customer,null,null,Near West Side,41.875,-87.6733,Near West Side,41.875,-87.6733,0
294251,8/23/2013 3:08,8/23/2013 3:50,1260,2524,177,Theater on the Lake,67,Sheffield Ave & Fullerton Ave,Customer,null,null,Lincoln Park,41.9263,-87.6308,Lincoln Park,41.9256,-87.6537,1898.80878013514
294255,8/23/2013 3:26,8/23/2013 3:48,802,1306,100,Orleans St & Merchandise Mart Plaza,98,LaSalle St & Washington St,Customer,null,null,Near North Side,41.8882,-87.6364,The Loop,41.8827,-87.6325,697.586253483106
294256,8/23/2013 3:43,8/23/2013 13:56,1321,36791,239,Western Ave & Leland Ave,210,Ashland Ave & Division St,Customer,null,null,Lincoln Square,41.9666,-87.6885,West Town,41.9034,-87.6693,7187.53925457815
294257,8/23/2013 3:50,8/23/2013 4:23,1260,1959,67,Sheffield Ave & Fullerton Ave,228,Damen Ave & Melrose Ave,Customer,null,null,Lincoln Park,41.9256,-87.6537,North Center,41.9406,-87.6785,2646.32077070628
294259,8/23/2013 3:56,8/23/2013 4:26,210,1799,55,Halsted St & James M Rochford St,81,Daley Center Plaza,Customer,null,null,Near West Side,41.8659,-87.6466,The Loop,41.8842,-87.6296,2473.512319222
294261,8/23/2013 4:00,8/23/2013 4:26,847,1565,55,Halsted St & James M Rochford St,81,Daley Center Plaza,Customer,null,null,Near West Side,41.8659,-87.6466,The Loop,41.8842,-87.6296,2473.512319222
294262,8/23/2013 4:12,8/23/2013 4:28,826,918,32,Racine Ave & Congress Pkwy,31,Franklin St & Chicago Ave,Customer,null,null,Near West Side,41.8746,-87.657,Near North Side,41.8968,-87.6356,3035.06325842044
294264,8/23/2013 4:29,8/23/2013 4:47,847,1109,81,Daley Center Plaza,26,McClurg Ct & Illinois St,Customer,null,null,The Loop,41.8842,-87.6296,Near North Side,41.891,-87.6173,1275.98699968214
294265,8/23/2013 4:31,8/23/2013 4:48,1590,1030,81,Daley Center Plaza,212,Wells St & Ohio St,Customer,null,null,The Loop,41.8842,-87.6296,Near North Side,41.8899,-87.6343,747.130958737814
294266,8/23/2013 4:33,8/23/2013 4:35,940,146,164,Franklin St & Lake St,100,Orleans St & Merchandise Mart Plaza,Customer,null,null,The Loop,41.8858,-87.6355,Near North Side,41.8882,-87.6364,277.258069321669
294272,8/23/2013 4:46,8/23/2013 4:57,28,685,219,Damen Ave & Cortland Ave,153,Southport Ave & Wellington Ave,Customer,null,null,Logan Square,41.916,-87.6774,Lake View,41.9357,-87.6636,2471.37236340508
294273,8/23/2013 4:49,8/23/2013 5:12,847,1373,26,McClurg Ct & Illinois St,43,Michigan Ave & Washington St,Customer,null,null,Near North Side,41.891,-87.6173,The Loop,41.8839,-87.6246,999.35991164109
294274,8/23/2013 4:50,8/23/2013 5:12,1590,1340,212,Wells St & Ohio St,43,Michigan Ave & Washington St,Customer,null,null,Near North Side,41.8899,-87.6343,The Loop,41.8839,-87.6246,1042.42545004107
294275,8/23/2013 4:57,8/23/2013 5:19,1752,1346,50,Clark St & Congress Pkwy,237,Martin Luther King Dr & 29th St,Customer,null,null,The Loop,41.8759,-87.6306,Douglas,41.8421,-87.617,3928.55886572146
294277,8/23/2013 5:04,8/23/2013 5:14,1197,553,227,Southport Ave & Waveland Ave,226,Racine Ave & Belmont Ave,Customer,null,null,Lake View,41.9482,-87.6639,Lake View,41.9397,-87.6589,1024.23422586903
294280,8/23/2013 5:13,8/23/2013 5:52,847,2309,43,Michigan Ave & Washington St,59,Wabash Ave & Roosevelt Rd,Customer,null,null,The Loop,41.8839,-87.6246,The Loop,41.8682,-87.6263,1752.49507283351
294282,8/23/2013 5:15,8/23/2013 5:52,1590,2209,43,Michigan Ave & Washington St,59,Wabash Ave & Roosevelt Rd,Customer,null,null,The Loop,41.8839,-87.6246,The Loop,41.8682,-87.6263,1752.49507283351
