CommunityArea,id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,statusKey,availableBikes,stAddress1,stAddress2,city,postalCode,location,altitude,testStation,lastCommunicationTime,landMark
Near West Side,73,Jefferson St & Monroe St,13,19,41.880422,-87.642746,In Service,1,6,Jefferson St & Monroe St,,,,207 S. Jefferson St.,,FALSE,,38
Near North Side,74,Kingsbury St & Erie St,20,23,41.89384315,-87.64185116,In Service,1,3,Kingsbury St & Erie St,,,,511 W Erie,,FALSE,,265
Near West Side,75,Canal St & Jackson Blvd,34,35,41.878149,-87.640001,In Service,1,1,Canal St & Jackson Blvd,,,,510 W. Jackson Blvd.,,FALSE,,138
The Loop,76,Lake Shore Dr & Monroe St,21,39,41.880958,-87.616743,In Service,1,17,Lake Shore Dr & Monroe St,,Chicago,,402 E. Monroe St.,,FALSE,,300
Near West Side,77,Clinton St & Madison St,16,23,41.8815824,-87.64127743,In Service,1,7,Clinton St & Madison St,,,,8 S. Clinton St.,,FALSE,,301
Near West Side,80,Aberdeen St & Madison St,10,19,41.881487,-87.654752,In Service,1,9,Aberdeen St & Madison St,,,,1059 W. Madison St.,,FALSE,,156
The Loop,81,Daley Center Plaza,29,39,41.884163,-87.629635,In Service,1,10,Daley Center Plaza,,Chicago,,48 W. Washington St.,,FALSE,,23
West Town,84,Green St & Milwaukee Ave,19,19,41.891733,-87.648727,In Service,1,0,Green St & Milwaukee Ave,,,,820 W. Grand Ave.,,FALSE,,33
Near North Side,85,Michigan Ave & Oak St,17,23,41.90096039,-87.62377664,In Service,1,5,Michigan Ave & Oak St,,Chicago,,140 E. Oak St.,,FALSE,,42
West Town,86,Eckhart Park,12,15,41.89637337,-87.66098386,In Service,1,3,Eckhart Park,,,,811 N. Noble St.,,FALSE,,289
Lincoln Park,87,Racine Ave & Fullerton Ave,12,19,41.92556258,-87.65840426,In Service,1,7,Racine Ave & Fullerton Ave,,,,2411 N. Racine,,FALSE,,189
Near West Side,88,May St & Randolph St,9,15,41.88397,-87.655688,In Service,1,6,May St & Randolph St,,Chicago,,1213 W. Washington St.,,FALSE,,155
The Loop,90,Millennium Park,16,35,41.8810317,-87.62408432,In Service,1,19,Millennium Park,,,,33 S. Michigan Ave.,,FALSE,,8
Near West Side,91,Clinton St & Washington Blvd,29,31,41.88338,-87.64117,In Service,1,2,Clinton St & Washington Blvd,,Chicago,,109 N. Clinton St.,,FALSE,,10
West Town,92,Carpenter St & Huron St,18,19,41.894556,-87.653449,In Service,1,1,Carpenter St & Huron St,,,,,,FALSE,,196
Lincoln Park,93,Sheffield Ave & Willow St,12,15,41.913688,-87.652855,In Service,1,1,Sheffield Ave & Willow St,,,,1740 N. Sheffield Ave.,,FALSE,,190
Lincoln Park,94,Clark St & Armitage Ave,16,19,41.918306,-87.636282,In Service,1,3,Clark St & Armitage Ave (Lincoln Ave & Armitage Ave),,,,1963 N. Lincoln Ave.,,FALSE,,146
Near South Side,97,Museum Campus,22,35,41.865212,-87.617759,In Service,1,13,Museum Campus,,Chicago,,Off Street,,FALSE,,29
The Loop,98,LaSalle St & Washington St,15,15,41.882664,-87.63253,In Service,1,0,LaSalle St & Washington St,,Chicago,,,,FALSE,,6
Near North Side,99,Lake Shore Dr & Ohio St,18,19,41.89257,-87.614492,In Service,1,1,Lake Shore Dr & Ohio St,,,,,,FALSE,,337
Near North Side,100,Orleans St & Merchandise Mart Plaza,23,23,41.888243,-87.63639,In Service,1,0,Orleans St & Merchandise Mart Plaza,,Chicago,,333 N Orleans st,,FALSE,,13
Near North Side,106,State St & Pearson St,22,27,41.897448,-87.628722,In Service,1,5,State St & Pearson St,,,,,,FALSE,,14
Near West Side,108,Halsted St & Polk St,18,19,41.87184,-87.64664,In Service,1,1,Halsted St & Polk St,,Chicago,,,,FALSE,,27
Near West Side,109,900 W Harrison,13,19,41.874675,-87.650019,In Service,1,6,Halsted St & Harrison St,,Chicago,,,,FALSE,,28
Near North Side,110,State St & Erie St,11,23,41.893975,-87.628623,In Service,1,12,State St & Erie St,,Chicago,,,,FALSE,,45
Near North Side,111,Sedgwick St & Huron St,10,19,41.894666,-87.638437,In Service,1,9,Sedgwick St & Huron St,,,,,,FALSE,,52
Near West Side,112,Green St & Randolph St,12,15,41.884078,-87.648684,In Service,1,3,Green St & Randolph St,,Chicago,,,,FALSE,,53
Lincoln Park,113,Bissell St & Armitage Ave,6,15,41.91844,-87.65222,In Service,1,9,Bissell St & Armitage Ave,,Chicago,,,,FALSE,,59
Lake View,114,Sheffield Ave & Addison St,7,27,41.94688,-87.65445,In Service,1,19,Sheffield Ave & Addison St,,Chicago,,,,FALSE,,62
Lake View,115,Sheffield Ave & Wellington Ave,5,23,41.936253,-87.653566,In Service,1,18,Sheffield Ave & Wellington Ave,,Chicago,,,,FALSE,,67
Logan Square,116,Western Ave & Winnebago Ave,7,15,41.915533,-87.687051,In Service,1,8,Western Ave & Winnebago Ave,,Chicago,,,,FALSE,,68
Lake View,117,Wilton Ave & Belmont Ave,7,23,41.94018,-87.65304,In Service,1,15,Wilton Ave & Belmont Ave,,Chicago,,,,FALSE,,69
Lincoln Park,118,Sedgwick St & North Ave,14,19,41.910579,-87.638618,In Service,1,5,Sedgwick St & North Ave,,Chicago,,,,FALSE,,70
Near West Side,119,Ashland Ave & Lake St,16,19,41.88541,-87.66732,In Service,1,3,Ashland Ave & Lake St,,Chicago,,,,FALSE,,73
Armour Square,120,Wentworth Ave & Archer Ave,8,15,41.854564,-87.631937,In Service,1,7,Wentworth Ave & Archer Ave,,Chicago,,,,FALSE,,75
Hyde Park,121,Blackstone Ave & Hyde Park Blvd,14,15,41.802562,-87.590368,In Service,1,1,Blackstone Ave & Hyde Park Blvd,,Chicago,,Hyde Park,,FALSE,,398
Near West Side,122,Ogden Ave & Congress Pkwy,10,15,41.87501,-87.67328,In Service,1,5,Ogden Ave & Congress Pkwy,,Chicago,,,,FALSE,,81
Logan Square,123,California Ave & Milwaukee Ave,11,15,41.922695,-87.697153,In Service,1,4,California Ave & Milwaukee Ave,,Chicago,,,,FALSE,,84
Lower West Side,124,Damen Ave & Cullerton St,8,15,41.855048,-87.675726,In Service,1,7,Damen Ave & Cullerton St,,Chicago,,,,FALSE,,89
Near North Side,126,Clark St & North Ave,0,15,41.911974,-87.631942,In Service,1,15,Clark St & North Ave,,Chicago,,,,FALSE,,128
Lincoln Park,127,Lincoln Ave & Fullerton Ave,5,15,41.925905,-87.64926,In Service,1,10,Lincoln Ave & Fullerton Ave,,Chicago,,,,FALSE,,131
West Town,128,Damen Ave & Chicago Ave,11,15,41.895769,-87.67722,In Service,1,4,Damen Ave & Chicago Ave,,Chicago,,,,FALSE,,132
Lower West Side,129,Blue Island Ave & 18th St,13,15,41.857556,-87.661535,In Service,1,2,Blue Island Ave & 18th St,,Chicago,,,,FALSE,,135
West Town,130,Damen Ave & Division St,4,15,41.90331,-87.67695,In Service,1,9,Damen Ave & Division St,,Chicago,,,,FALSE,,136
Lake View,131,Lincoln Ave & Belmont Ave,8,15,41.939365,-87.668385,In Service,1,7,Lincoln Ave & Belmont Ave,,Chicago,,,,FALSE,,140
Armour Square,132,Wentworth Ave & 24th St,9,15,41.849237,-87.631715,In Service,1,6,Wentworth Ave & 24th St,,Chicago,,,,FALSE,,149
Near West Side,134,Peoria St & Jackson Blvd,7,19,41.877749,-87.649633,In Service,1,12,Peoria St & Jackson Blvd,,Chicago,,,,FALSE,,158
Lower West Side,135,Halsted St & 21st St,6,11,41.85378,-87.64665,In Service,1,5,Halsted St & 21st St,,Chicago,,,,FALSE,,162
Near West Side,136,Racine Ave & 13th St,10,15,41.865054,-87.656959,In Service,1,5,Racine Ave & 13th St,,Chicago,,,,FALSE,,165
Near West Side,137,Morgan Ave & 14th Pl,7,15,41.862378,-87.651062,In Service,1,8,Morgan Ave & 14th Pl,,Chicago,,,,FALSE,,169
Near North Side,138,Clybourn Ave & Division St,9,15,41.904509,-87.6405,In Service,1,6,Clybourn Ave & Division St,,Chicago,,,,FALSE,,171
Near North Side,140,Dearborn Pkwy & Delaware Pl,5,19,41.899007,-87.629928,In Service,1,14,Dearborn Pkwy & Delaware Pl,,Chicago,,,,FALSE,,173
Lincoln Park,141,Clark St & Lincoln Ave,18,23,41.915689,-87.6346,In Service,1,5,Clark St & Lincoln Ave,,Chicago,,,,FALSE,,179
Lincoln Park,143,Sedgwick St & Webster Ave,5,15,41.92197,-87.63854,In Service,1,10,Sedgwick St & Webster Ave,,Chicago,,,,FALSE,,191
Lincoln Park,144,Larrabee St & Webster Ave,1,15,41.92175,-87.64401,In Service,1,14,Larrabee St & Webster Ave,,Chicago,,,,FALSE,,193
Near West Side,146,Loomis St & Jackson Blvd,5,11,41.877945,-87.662007,In Service,1,6,Loomis St & Jackson Blvd,,Chicago,,,,FALSE,,206
Douglas,147,Indiana Ave & 26th St,8,15,41.8457,-87.62248,In Service,1,7,Indiana Ave & 26th St,,Chicago,,,,FALSE,,212
Douglas,148,State St & 33rd St,7,11,41.834734,-87.625813,In Service,1,4,State St & 33rd St,,Chicago,,,,FALSE,,216
Douglas,149,Calumet Ave & 33rd St,10,11,41.8349,-87.61793,In Service,1,1,Calumet Ave & 33rd St,,Chicago,,,,FALSE,,217
Douglas,150,Fort Dearborn Dr & 31st St,8,15,41.838556,-87.608218,In Service,1,7,Fort Dearborn Dr & 31st St,,Chicago,,,,FALSE,,220
Lincoln Park,152,Lincoln Ave & Diversey Pkwy,1,15,41.932225,-87.658617,In Service,1,13,Lincoln Ave & Diversey Pkwy,,Chicago,,,,FALSE,,226
Lake View,153,Southport Ave & Wellington Ave,3,19,41.935733,-87.663576,In Service,1,16,Southport Ave & Wellington Ave,,Chicago,,,,FALSE,,228
Lake View,154,Southport Ave & Belmont Ave,12,15,41.93949,-87.66378,In Service,1,3,Southport Ave & Belmont Ave,,Chicago,,,,FALSE,,229
Lake View,156,Clark St & Wellington Ave,11,15,41.93649682,-87.64753866,In Service,1,4,Clark St & Wellington Ave,,Chicago,,,,FALSE,,232
Lake View,157,Lake Shore Dr & Wellington Ave,10,15,41.936669,-87.636794,In Service,1,5,Lake Shore Dr & Wellington Ave,,Chicago,,,,FALSE,,234
West Town,158,Milwaukee Ave & Wabansia Ave,6,15,41.912616,-87.681391,In Service,1,9,Milwaukee Ave & Wabansia Ave,,Chicago,,,,FALSE,,243
West Town,159,Claremont Ave & Hirsch St,5,11,41.907781,-87.685854,In Service,1,6,1451 N Claremont Ave,,Chicago,,,,FALSE,,245
West Town,160,Campbell Ave & North Ave,8,15,41.910535,-87.689556,In Service,1,7,Campbell Ave & North Ave,,Chicago,,,,FALSE,,257
North Center,162,Damen Ave & Wellington Ave,6,15,41.93588,-87.67842,In Service,1,9,Damen Ave & Wellington Ave,,Chicago,,,,FALSE,,268
Lincoln Park,163,Paulina St & Diversey Pkwy,6,15,41.93186,-87.67079,In Service,1,9,Paulina St & Diversey Pkwy,,Chicago,,,,FALSE,,271
The Loop,164,Franklin St & Lake St,12,23,41.885837,-87.6355,In Service,1,11,Franklin St & Lake St,,Chicago,,,,FALSE,,272
Lake View,165,Clark St & Grace St,9,18,41.95078,-87.659172,In Service,1,9,Clark St & Grace St,,Chicago,,,,FALSE,,275
Lincoln Park,166,Ashland Ave & Wrightwood Ave,14,15,41.92883,-87.668507,In Service,1,0,Ashland Ave & Wrightwood Ave,,Chicago,,,,FALSE,,296
Lower West Side,167,Damen Ave & Coulter St,5,11,41.8492,-87.67564,In Service,1,6,Damen Ave & Coulter St,,Chicago,,,,FALSE,,306
Near South Side,168,Michigan Ave & 14th St,15,19,41.864059,-87.623727,In Service,1,4,Michigan Ave & 14th St,,Chicago,,,,FALSE,,310
Near West Side,169,Canal St & Harrison St,10,15,41.874337,-87.639566,In Service,1,5,Canal St & Harrison St,,Chicago,,,,FALSE,,326
Lower West Side,170,Clinton St & 18th St,9,15,41.85795,-87.640826,In Service,1,6,Clinton St & 18th St,,,,,,FALSE,,329
Lower West Side,171,May St & Cullerton St,8,11,41.855136,-87.654127,In Service,1,3,May St & Cullerton St,,Chicago,,,,FALSE,,331
Near North Side,173,Mies van der Rohe Way & Chicago Ave,10,15,41.89691,-87.621743,In Service,1,5,Mies van der Rohe Way & Chicago Ave,,Chicago,,,,FALSE,,338
Near West Side,174,Canal St & Madison St,16,23,41.882091,-87.639833,In Service,1,7,Canal St & Madison St,,Chicago,,,,FALSE,,341
The Loop,175,Wells St & Polk St,18,19,41.872373,-87.633523,In Service,1,1,Wells St & Polk St,,Chicago,,,,FALSE,,344
Near North Side,176,Clark St & Elm St,19,19,41.903233,-87.631253,In Service,1,0,Clark St & Elm St,,Chicago,,,,FALSE,,349
Lincoln Park,177,Theater on the Lake,2,23,41.926277,-87.630834,In Service,1,18,Theater on the Lake,,Chicago,,,,FALSE,,350
Near West Side,178,State St & 19th St,3,15,41.856594,-87.627542,In Service,1,12,State St & 19th St,,Chicago,,,,FALSE,,408
Grand Boulevard,179,Martin Luther King Dr & Oakwood Blvd,10,15,41.82256,-87.61615,In Service,1,5,Martin Luther King Dr & Oakwood Blvd,,Chicago,,Off Steet,,FALSE,,420
Near North Side,181,LaSalle St & Illinois St,12,31,41.890749,-87.63206,In Service,1,19,LaSalle St & Illinois St,,Chicago,,On Street,,FALSE,,430
West Town,183,Damen Ave & Augusta Blvd,13,15,41.899714,-87.677234,In Service,1,2,Damen Ave & Augusta Blvd,,Chicago,,,,FALSE,,142
Douglas,184,State St & 35th St,9,19,41.83104,-87.62688,In Service,1,10,State St & 35th St,W. 35th St,Chicago,,,,FALSE,,82
Logan Square,185,Stave St & Armitage Ave,3,11,41.917741,-87.691392,In Service,1,8,Stave St & Armitage Ave,,Chicago,,,,FALSE,,266
West Town,186,Ogden Ave & Race Ave,10,15,41.891795,-87.658751,In Service,1,5,Ogden Ave & Race Ave,,Chicago,,,,FALSE,,194
Lincoln Park,188,Greenview Ave & Fullerton Ave,10,15,41.92533,-87.6658,In Service,1,5,Greenview Ave & Fullerton Ave,,,,,,FALSE,,295
Lincoln Park,190,Southport Ave & Wrightwood Ave,0,15,41.92888,-87.66317,In Service,1,15,Southport Ave & Wrightwood Ave,,Chicago,,,,FALSE,,298
Near West Side,191,Canal St & Monroe St,13,23,41.8807,-87.63947,In Service,1,10,Canal St & Monroe St,,Chicago,,,,FALSE,,56
Near West Side,192,Canal St & Adams St,21,35,41.879255,-87.639904,In Service,1,14,Canal St & Adams St,,Chicago,,,,FALSE,,11
Douglas,193,State St & 29th St,13,15,41.841707,-87.626938,In Service,1,2,State St & 29th St,,Chicago,,,,FALSE,,213
The Loop,194,Wabash Ave & Wacker Pl,15,19,41.886875,-87.62603,In Service,1,4,Wabash Ave & Wacker Pl,,Chicago,,,,FALSE,,339
The Loop,195,Columbus Dr & Randolph St,25,31,41.884728,-87.619521,In Service,1,6,Columbus Dr & Randolph St,,Chicago,,,,FALSE,,263
Near North Side,196,Cityfront Plaza & N Water St,15,19,41.889875,-87.621994,In Service,1,4,Cityfront Plaza & N Water St,,Chicago,,Off Street,,FALSE,,427
The Loop,197,Michigan Ave & Madison St,18,19,41.882134,-87.625125,In Service,1,1,Michigan Ave & Madison St,,Chicago,,,,FALSE,,36
Near West Side,198,Halsted St & Madison St,19,19,41.88175,-87.6478,In Service,1,0,Halsted St & Madison St,,Chicago,,,,FALSE,,159
Near North Side,199,Wabash Ave & Grand Ave,9,15,41.891738,-87.626937,In Service,1,5,Wabash Ave & Grand Ave,,Chicago,,,,FALSE,,4
Grand Boulevard,200,King Dr & 47th St,8,11,41.809851,-87.616279,In Service,1,3,King Dr & 47th St,,Chicago,,,,FALSE,,90
Grand Boulevard,201,Indiana Ave & 40th St,7,15,41.82168,-87.6216,In Service,1,8,Indiana Ave & 40th St,,Chicago,,,,FALSE,,83
Lower West Side,202,Halsted St & 18th St,14,15,41.857499,-87.646277,In Service,1,1,Halsted St & 18th St,,Chicago,,,,FALSE,,99
Lower West Side,203,Western Ave & 21st St,11,15,41.85394,-87.685243,In Service,1,4,Western Ave & 21st St,,Chicago,,,,FALSE,,91
Washington Park,204,Prairie Ave & Garfield Blvd,9,15,41.794853,-87.618691,In Service,1,4,Prairie Ave & Garfield Blvd,,Chicago,,,,FALSE,,101
Lower West Side,205,Paulina St & 18th St,14,15,41.857901,-87.668745,In Service,1,1,Paulina St & 18th St,,Chicago,,,,FALSE,,88
Bridgeport,206,Halsted St & Archer Ave,3,15,41.847203,-87.646795,In Service,1,12,Halsted St & Archer Ave,,Chicago,,,,FALSE,,98
Bridgeport,207,Emerald Ave & 28th St,9,15,41.84358,-87.645368,In Service,1,6,Emerald Ave & 28th St,,Chicago,,,,FALSE,,399
Lower West Side,208,Ashland Ave & 21st St,6,15,41.85381,-87.665897,In Service,1,9,Ashland Ave & 21st St,,Chicago,,,,FALSE,,307
Armour Square,209,Normal Ave & Archer Ave,5,11,41.849527,-87.640591,In Service,1,6,Normal Ave & Archer Ave,,Chicago,,,,FALSE,,308
West Town,210,Ashland Ave & Division St,6,19,41.903448,-87.669313,In Service,1,13,Ashland Ave & Division St,,Chicago,,,,FALSE,,61
Near North Side,211,St Clair St & Erie St,19,19,41.894448,-87.622663,In Service,1,0,St Clair St & Erie St,,Chicago,,,,FALSE,,16
